number	Css-class	
0000	.iconButton-noItemDefault	空白アイコン
0001	.iconButton-selectBox	ボックス選択
0002	.iconButton-cut	カット
0003	.iconButton-cut_d	カット（無効）
0004	.iconButton-copy	コピー
0005	.iconButton-copy_d	コピー（無効）
0006	.iconButton-paste	ペースト
0007	.iconButton-paste_d	ペースト（無効）
0008	.iconButton-undo	undo
0009	.iconButton-undo_d	undo（無効）
0010	.iconButton-redo	redo
0011	.iconButton-redo_d	redo（無効）
0012	.iconButton-gia	歯車
0013	.iconButton-gia_d	歯車（無効）
0014	.iconButton-axeVoid	psAxe
0015	.iconButton-selectCircle	サークル選択
0016	.iconButton-toReference	参照欄へコピー
0017	.iconButton-fromReference	参照欄からコピー
0018	.iconButton-toRight	右へ
0019	.iconButton-toLeft	左へ
0020	.iconButton-reload	リロード
0021	.iconButton-set	設置
0022	.iconButton-get	取得
0023	.iconButton-openX	開くX
0024	.iconButton-storeX	保存X
0025	.iconButton-cgiStore	CGIで保存
0026	.iconButton-storeAs	別名で保存
0027	.iconButton-exp	書き出し
0028	.iconButton-imp	読み込み
0029	.iconButton-push	プッシュ
0030	.iconButton-pull	プル
0031	.iconButton-close	閉じる
0032	.iconButton-document	画像ドキュメント
0033	.iconButton-timesheet	タイムシート
0034	.iconButton-layerName	レイヤー名
0035	.iconButton-export	エクスポート
0036	.iconButton-import	インポート
0037	.iconButton-cat	ねこ
0038	.iconButton-fldChart	フィールドチャート
0039	.iconButton-refChart	リファレンス
0040	.iconButton-fromTVP	TVPから読み込み
0041	.iconButton-toTVP	TVPへ書き出し
0042	.iconButton-dialog2Text	ダイアログをテキスト
0043	.iconButton-dialogEdit	セリフ編集
0044	.iconButton-simplify	単純化
0045	.iconButton-eraser	消しゴム
0046	.iconButton-zoom	ズーム
0047	.iconButton-search	検索
0048	.iconButton-section	区間
0049	.iconButton-reformat	整形
0050	.iconButton-clearFS	フットスタンプを消す
0051	.iconButton-axe_1	斧１
0052	.iconButton-axe_2	斧２
0053	.iconButton-axe_3	斧３
0054	.iconButton-axe_4	
0055	.iconButton-pen_1	ペン１
0056	.iconButton-pen_2	ペン２
0057	.iconButton-pen_3	ペン３
0058	.iconButton-footStamp	足跡
0059	.iconButton-letter	文字
0060	.iconButton-inbetweenDot	動画記号
0061	.iconButton-bigCross	大きなばつ印
0062	.iconButton-notice	注意
0063	.iconButton-dialog	ふきだし
0064	.iconButton-clearTL	タイムライン消去
0065	.iconButton-FO	フェードアウト
0066	.iconButton-FI	フェードイン
0067	.iconButton-transition	トランジション
0068	.iconButton-interpSection	補完区間
0069	.iconButton-strongCell	セル強調
0070	.iconButton-interpDot	補完記号
0071	.iconButton-vLine	縦線
0072	.iconButton-wLine	波線
0073	.iconButton-incrCell	増番
0074	.iconButton-decrCell	減番
0075	.iconButton-addCircle	丸囲み
0076	.iconButton-addBrackets	ブラケット
0077	.iconButton-addAngles	矢括弧
0078	.iconButton-incr	繰り上げ
0079	.iconButton-decr	繰り下げ
	/*	
	*/	
0080	.iconButton-util	バーメニュー
0081	.iconButton-util_d	バーメニュー（無効）
0082	.iconButton-skb	ボックスメニュー
0083	.iconButton-skb_d	ボックスメニュー（無効）
0084	.iconButton-path	パス
0085	.iconButton-preview	プレビュー
0086	.iconButton-xps	タイムシート
0087	.iconButton-documents	画像ドキュメント
0088	.iconButton-trace	トレース
0089	.iconButton-debug	デバッグ
0090	.iconButton-renumber	番号つけ
0091	.iconButton-makeLayerset	レイヤーセット作成
0092	.iconButton-divideLayers	レイヤー振り分け
0093	.iconButton-gatherLayers	レイヤー収集
0094	.iconButton-addRegister	タップを追加
0095	.iconButton-duplicateRegister	タップを複写
	/*	
	*/	
0096	.iconButton-switchTF	タイムラインとフレームモード切り替え
0097	.iconButton-timelineAnimation	タイムラインアニメーション
0098	.iconButton-frameAnimation	フレームアニメーション
0099	.iconButton-switchShortcut	キーボードショートカット
0100	.iconButton-multipage	複数ページ
0101	.iconButton-singlepage	単ページ
0102	.iconButton-plus	追加
0103	.iconButton-paintFS	フットスタンプ再描画
0104	.iconButton-movie	ムービー
0105	.iconButton-ps	フォトショップ
0106	.iconButton-printer	プリンタ
0107	.iconButton-floating	フロート化
0108	.iconButton-info	情報
